casename,area_of_law
2000_SGCA_46.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2000_SGCA_47.pdf,"['admiralty and shipping', 'arbitration', 'contract', 'evidence', 'damages', 'tort', 'land']"
2000_SGCA_48.pdf,"['bailment', 'companies', 'courts and jurisdiction', 'revenue law', 'contract', 'evidence', 'banking', 'land']"
2000_SGCA_49.pdf,"['insurance', 'contract', 'damages', 'tort', 'land']"
2000_SGCA_5.pdf,"['contract', 'evidence', 'probate and administration', 'equity', 'tort', 'land', 'confidence']"
2000_SGCA_50.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'land']"
2000_SGCA_51.pdf,"['insurance', 'contract', 'evidence', 'damages', 'banking', 'equity', 'land']"
2000_SGCA_52.pdf,"['criminal law', 'contract', 'evidence', 'land']"
2000_SGCA_53.pdf,"['evidence', 'damages', 'tort']"
2000_SGCA_54.pdf,"['companies', 'evidence', 'probate and administration']"
2000_SGCA_55.pdf,"['evidence', 'land']"
2000_SGCA_56.pdf,"['words and phrases', 'contract', 'damages', 'tort', 'land']"
2000_SGCA_57.pdf,"['words and phrases', 'contract', 'evidence', 'trusts', 'damages', 'equity', 'restitution', 'agency']"
2000_SGCA_58.pdf,"['companies', 'contract', 'evidence', 'land']"
2000_SGCA_59.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'res judicata', 'damages', 'land', 'agency']"
2000_SGCA_6.pdf,"['criminal law', 'evidence', 'land']"
2000_SGCA_60.pdf,"['evidence', 'damages', 'equity']"
2000_SGCA_61.pdf,"['contract', 'evidence', 'banking', 'land']"
2000_SGCA_62.pdf,"['criminal law', 'evidence', 'land']"
2000_SGCA_63.pdf,"['evidence', 'trusts', 'land', 'succession and wills']"
2000_SGCA_64.pdf,['evidence']
2000_SGCA_65.pdf,"['contract', 'evidence', 'damages', 'land']"
2000_SGCA_66.pdf,"['carriage of goods by air and land', 'contract', 'evidence', 'land']"
2000_SGCA_67.pdf,"['criminal law', 'evidence', 'land', 'agency']"
2000_SGCA_68.pdf,"['companies', 'evidence', 'land', 'family law', 'gifts']"
2000_SGCA_7.pdf,"['arbitration', 'words and phrases', 'contract', 'damages', 'tort', 'land']"
2000_SGCA_8.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land', 'immigration']"
2000_SGHC_1.pdf,"['criminal law', 'criminal procedure and sentencing', 'companies', 'evidence']"
2000_SGHC_10.pdf,"['contract', 'evidence']"
2000_SGHC_100.pdf,"['trusts', 'equity', 'land']"
2000_SGHC_101.pdf,"['companies', 'contract', 'evidence', 'damages']"
2000_SGHC_102.pdf,"['courts and jurisdiction', 'evidence', 'land', 'immigration']"
2000_SGHC_103.pdf,"['criminal procedure and sentencing', 'evidence', 'land']"
2000_SGHC_104.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'equity']"
2000_SGHC_105.pdf,['evidence']
2000_SGHC_106.pdf,"['companies', 'contract', 'evidence']"
2000_SGHC_107.pdf,"['evidence', 'land', 'confidence']"
2000_SGHC_108.pdf,"['companies', 'contract', 'evidence']"
2000_SGHC_109.pdf,"['companies', 'evidence', 'land', 'gifts']"
2000_SGHC_11.pdf,[]
2000_SGHC_110.pdf,"['arbitration', 'companies', 'damages', 'land']"
2000_SGHC_111.pdf,"['evidence', 'damages', 'land']"
2000_SGHC_112.pdf,"['companies', 'contract', 'damages']"
2000_SGHC_113.pdf,"['civil procedure', 'companies']"
2000_SGHC_114.pdf,"['arbitration', 'injunctions', 'insurance', 'contract', 'evidence', 'damages', 'banking']"
2000_SGHC_115.pdf,"['evidence', 'damages', 'tort']"
2000_SGHC_116.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land', 'immigration']"
2000_SGHC_117.pdf,"['contract', 'evidence', 'banking']"
2000_SGHC_118.pdf,"['conflict of laws', 'contract', 'evidence', 'banking']"
2000_SGHC_119.pdf,"['insurance', 'contract', 'evidence', 'banking', 'land', 'agency']"
2000_SGHC_12.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'equity', 'land', 'confidence']"
2000_SGHC_120.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_121.pdf,[]
2000_SGHC_122.pdf,"['companies', 'evidence', 'banking', 'land']"
2000_SGHC_123.pdf,"['contract', 'evidence', 'damages', 'land']"
2000_SGHC_124.pdf,"['conflict of laws', 'companies']"
2000_SGHC_125.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'tort']"
2000_SGHC_126.pdf,"['civil procedure', 'contract', 'evidence', 'land']"
2000_SGHC_127.pdf,"['criminal procedure and sentencing', 'companies', 'revenue law', 'words and phrases', 'contract', 'evidence', 'banking', 'land']"
2000_SGHC_128.pdf,"['companies', 'words and phrases', 'contract']"
2000_SGHC_129.pdf,"['evidence', 'restitution', 'confidence']"
2000_SGHC_13.pdf,"['insolvency law', 'companies', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_130.pdf,"['companies', 'contract']"
2000_SGHC_131.pdf,"['arbitration', 'contract', 'evidence', 'damages', 'equity', 'land']"
2000_SGHC_132.pdf,"['contract', 'evidence', 'trusts', 'damages', 'land', 'agency']"
2000_SGHC_133.pdf,"['evidence', 'immigration']"
2000_SGHC_134.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'banking', 'equity', 'tort', 'land', 'confidence']"
2000_SGHC_135.pdf,"['companies', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_136.pdf,"['contract', 'evidence', 'damages', 'equity', 'land']"
2000_SGHC_137.pdf,['evidence']
2000_SGHC_138.pdf,"['evidence', 'land', 'family law']"
2000_SGHC_139.pdf,"['criminal law', 'criminal procedure and sentencing', 'contract', 'evidence']"
2000_SGHC_14.pdf,"['insurance', 'contract', 'damages', 'tort', 'land']"
2000_SGHC_140.pdf,"['contract', 'evidence', 'damages', 'land']"
2000_SGHC_141.pdf,"['civil procedure', 'evidence', 'damages', 'tort', 'land', 'limitation of actions']"
2000_SGHC_142.pdf,"['criminal law', 'evidence', 'land', 'gifts']"
2000_SGHC_143.pdf,"['criminal procedure and sentencing', 'evidence']"
2000_SGHC_144.pdf,"['civil procedure', 'contempt of court', 'insurance', 'evidence', 'res judicata', 'damages', 'tort', 'agency', 'limitation of actions']"
2000_SGHC_145.pdf,"['evidence', 'designs', 'banking', 'land']"
2000_SGHC_146.pdf,"['insurance', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_147.pdf,"['insurance', 'evidence', 'land']"
2000_SGHC_148.pdf,['evidence']
2000_SGHC_149.pdf,"['evidence', 'tort']"
2000_SGHC_15.pdf,['companies']
2000_SGHC_150.pdf,['contract']
2000_SGHC_151.pdf,"['companies', 'contract', 'res judicata', 'trusts', 'damages', 'equity', 'land', 'charities']"
2000_SGHC_152.pdf,"['companies', 'contract', 'evidence', 'equity', 'family law', 'confidence']"
2000_SGHC_153.pdf,"['civil procedure', 'injunctions', 'evidence', 'banking']"
2000_SGHC_154.pdf,"['evidence', 'statutory interpretation', 'confidence']"
2000_SGHC_155.pdf,"['criminal procedure and sentencing', 'evidence']"
2000_SGHC_156.pdf,"['arbitration', 'evidence', 'damages', 'land']"
2000_SGHC_157.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2000_SGHC_158.pdf,['civil procedure']
2000_SGHC_159.pdf,"['contract', 'evidence', 'banking', 'legal profession', 'confidence']"
2000_SGHC_16.pdf,"['insurance', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_160.pdf,"['arbitration', 'evidence', 'land']"
2000_SGHC_161.pdf,"['evidence', 'land']"
2000_SGHC_162.pdf,"['contract', 'evidence', 'land']"
2000_SGHC_163.pdf,"['evidence', 'res judicata', 'trusts', 'equity', 'land', 'restitution']"
2000_SGHC_164.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2000_SGHC_165.pdf,"['companies', 'contract', 'evidence', 'land']"
2000_SGHC_166.pdf,"['arbitration', 'contract', 'evidence', 'land']"
2000_SGHC_167.pdf,['criminal procedure and sentencing']
2000_SGHC_168.pdf,"['civil procedure', 'contract', 'evidence', 'banking', 'equity', 'tort', 'land', 'restitution']"
2000_SGHC_169.pdf,"['evidence', 'legal profession']"
2000_SGHC_17.pdf,"['evidence', 'trusts', 'probate and administration', 'gifts', 'succession and wills']"
2000_SGHC_170.pdf,"['criminal procedure and sentencing', 'companies', 'insurance', 'land', 'immigration', 'statutory interpretation']"
2000_SGHC_171.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2000_SGHC_172.pdf,"['contract', 'evidence', 'land']"
2000_SGHC_173.pdf,['agency']
2000_SGHC_174.pdf,"['credit and security', 'companies', 'contract', 'evidence']"
2000_SGHC_175.pdf,"['insurance', 'contract', 'evidence', 'equity']"
2000_SGHC_176.pdf,"['contract', 'evidence']"
2000_SGHC_177.pdf,"['companies', 'contract', 'evidence', 'res judicata', 'damages', 'banking', 'land']"
2000_SGHC_178.pdf,"['contract', 'evidence', 'banking', 'tort', 'agency', 'bills of exchange and other negotiable instruments']"
2000_SGHC_179.pdf,"['criminal law', 'insurance', 'evidence', 'immigration']"
2000_SGHC_18.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'confidence']"
2000_SGHC_180.pdf,"['criminal law', 'evidence', 'legal profession', 'confidence']"
2000_SGHC_181.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land', 'gifts']"
2000_SGHC_182.pdf,"['contract', 'evidence', 'land', 'gifts', 'agency']"
2000_SGHC_183.pdf,"['injunctions', 'land']"
2000_SGHC_184.pdf,"['evidence', 'land']"
2000_SGHC_185.pdf,"['companies', 'insurance', 'contract', 'evidence', 'land', 'immigration']"
2000_SGHC_186.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land']"
2000_SGHC_187.pdf,"['companies', 'insurance', 'contract', 'evidence', 'land']"
2000_SGHC_188.pdf,"['insurance', 'contract', 'evidence', 'banking']"
2000_SGHC_189.pdf,"['companies', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_19.pdf,"['evidence', 'confidence']"
2000_SGHC_190.pdf,"['criminal law', 'evidence']"
2000_SGHC_191.pdf,['damages']
2000_SGHC_192.pdf,"['companies', 'insurance', 'evidence', 'res judicata', 'trusts']"
2000_SGHC_193.pdf,['gifts']
2000_SGHC_194.pdf,"['evidence', 'damages']"
2000_SGHC_195.pdf,"['criminal law', 'criminal procedure and sentencing', 'companies', 'evidence']"
2000_SGHC_196.pdf,['words and phrases']
2000_SGHC_197.pdf,"['evidence', 'road traffic']"
2000_SGHC_198.pdf,"['credit and security', 'insurance', 'contract', 'evidence']"
2000_SGHC_199.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'trusts', 'equity', 'land', 'restitution', 'limitation of actions']"
2000_SGHC_2.pdf,"['companies', 'contract', 'evidence', 'damages', 'equity', 'employment law', 'land']"
2000_SGHC_20.pdf,"['contract', 'evidence', 'damages', 'banking', 'land', 'agency']"
2000_SGHC_200.pdf,"['companies', 'contract', 'land', 'family law']"
2000_SGHC_201.pdf,"['evidence', 'damages', 'land']"
2000_SGHC_202.pdf,"['insurance', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_203.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'tort', 'land', 'agency', 'confidence']"
2000_SGHC_204.pdf,['evidence']
2000_SGHC_205.pdf,"['evidence', 'land']"
2000_SGHC_206.pdf,"['companies', 'contract', 'evidence', 'damages', 'equity', 'land']"
2000_SGHC_207.pdf,"['contract', 'evidence', 'damages', 'land']"
2000_SGHC_208.pdf,"['bailment', 'companies', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_209.pdf,"['bailment', 'companies', 'contract', 'evidence', 'damages', 'banking', 'land', 'intellectual property']"
2000_SGHC_21.pdf,"['companies', 'evidence']"
2000_SGHC_210.pdf,"['civil procedure', 'insurance', 'evidence', 'damages']"
2000_SGHC_211.pdf,"['evidence', 'tort']"
2000_SGHC_212.pdf,"['evidence', 'administrative law', 'legal profession']"
2000_SGHC_213.pdf,"['companies', 'contract', 'evidence', 'damages']"
2000_SGHC_214.pdf,['contract']
2000_SGHC_215.pdf,"['civil procedure', 'arbitration', 'companies', 'insurance', 'contract', 'damages']"
2000_SGHC_216.pdf,"['companies', 'insurance', 'contract', 'evidence', 'damages', 'banking']"
2000_SGHC_217.pdf,"['companies', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_218.pdf,"['companies', 'contract', 'evidence', 'damages', 'tort']"
2000_SGHC_219.pdf,"['evidence', 'damages', 'designs']"
2000_SGHC_22.pdf,"['admiralty and shipping', 'arbitration', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_220.pdf,"['criminal procedure and sentencing', 'companies', 'contract', 'land', 'immigration', 'statutory interpretation']"
2000_SGHC_221.pdf,"['companies', 'insurance', 'contract', 'evidence', 'damages', 'designs']"
2000_SGHC_222.pdf,"['companies', 'evidence', 'land', 'gifts']"
2000_SGHC_223.pdf,"['contract', 'evidence']"
2000_SGHC_224.pdf,['evidence']
2000_SGHC_225.pdf,"['contract', 'evidence', 'banking', 'land']"
2000_SGHC_226.pdf,"['insurance', 'contract', 'evidence', 'banking']"
2000_SGHC_228.pdf,"['companies', 'contract', 'evidence', 'damages', 'equity', 'land']"
2000_SGHC_229.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'equity', 'land']"
2000_SGHC_23.pdf,"['arbitration', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_230.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2000_SGHC_231.pdf,"['contract', 'evidence', 'family law', 'confidence']"
2000_SGHC_232.pdf,['civil procedure']
2000_SGHC_233.pdf,['evidence']
2000_SGHC_234.pdf,['evidence']
2000_SGHC_235.pdf,"['companies', 'contract', 'evidence', 'damages']"
2000_SGHC_236.pdf,"['companies', 'evidence', 'damages', 'land', 'family law']"
2000_SGHC_237.pdf,"['contract', 'evidence', 'damages', 'equity', 'land']"
2000_SGHC_238.pdf,"['insolvency law', 'companies', 'contract', 'damages', 'banking', 'equity', 'land']"
2000_SGHC_239.pdf,"['companies', 'contract', 'evidence', 'trusts', 'damages', 'banking', 'equity', 'tort', 'land', 'immigration', 'agency', 'confidence']"
2000_SGHC_24.pdf,"['bailment', 'revenue law', 'contract', 'evidence', 'land']"
2000_SGHC_240.pdf,['immigration']
2000_SGHC_241.pdf,"['civil procedure', 'insurance', 'evidence', 'damages']"
2000_SGHC_242.pdf,"['companies', 'immigration']"
2000_SGHC_243.pdf,"['contract', 'evidence', 'damages', 'land']"
2000_SGHC_244.pdf,"['criminal procedure and sentencing', 'evidence', 'statutory interpretation']"
2000_SGHC_245.pdf,"['evidence', 'damages']"
2000_SGHC_246.pdf,"['arbitration', 'contract', 'damages', 'land']"
2000_SGHC_247.pdf,"['civil procedure', 'contract', 'evidence']"
2000_SGHC_248.pdf,"['evidence', 'banking']"
2000_SGHC_249.pdf,['evidence']
2000_SGHC_25.pdf,"['contract', 'banking', 'equity', 'agency']"
2000_SGHC_250.pdf,"['civil procedure', 'contract', 'evidence', 'banking', 'equity', 'tort', 'land', 'professions']"
2000_SGHC_251.pdf,"['evidence', 'land']"
2000_SGHC_252.pdf,"['contract', 'evidence', 'damages', 'tort']"
2000_SGHC_253.pdf,"['arbitration', 'contract']"
2000_SGHC_254.pdf,"['evidence', 'gifts', 'confidence']"
2000_SGHC_255.pdf,"['civil procedure', 'damages', 'statutory interpretation']"
2000_SGHC_256.pdf,"['evidence', 'land']"
2000_SGHC_257.pdf,[]
2000_SGHC_258.pdf,"['criminal procedure and sentencing', 'words and phrases']"
2000_SGHC_259.pdf,"['contract', 'evidence', 'tort', 'land', 'bills of exchange and other negotiable instruments']"
2000_SGHC_26.pdf,"['injunctions', 'companies', 'words and phrases', 'insurance', 'contract', 'evidence', 'damages', 'banking']"
2000_SGHC_260.pdf,"['arbitration', 'contract', 'evidence', 'res judicata']"
2000_SGHC_261.pdf,"['evidence', 'tort', 'land']"
2000_SGHC_262.pdf,"['criminal law', 'bailment', 'credit and security', 'contract', 'evidence', 'banking', 'land', 'commercial transactions']"
2000_SGHC_263.pdf,"['companies', 'contract', 'evidence', 'banking', 'equity', 'land']"
2000_SGHC_264.pdf,['land']
2000_SGHC_265.pdf,"['insurance', 'contract', 'evidence', 'tort', 'land']"
2000_SGHC_266.pdf,"['land', 'bills of exchange and other negotiable instruments']"
2000_SGHC_267.pdf,['gifts']
2000_SGHC_268.pdf,"['admiralty and shipping', 'arbitration', 'contract', 'evidence', 'tort']"
2000_SGHC_269.pdf,"['companies', 'evidence', 'damages', 'banking', 'tort', 'land', 'confidence']"
2000_SGHC_27.pdf,"['criminal law', 'evidence', 'tort']"
2000_SGHC_270.pdf,"['evidence', 'tort', 'land']"
2000_SGHC_271.pdf,"['contract', 'damages', 'equity', 'land', 'statutory interpretation']"
2000_SGHC_272.pdf,"['admiralty and shipping', 'credit and security', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_273.pdf,"['contract', 'evidence', 'res judicata', 'damages', 'land']"
2000_SGHC_274.pdf,"['arbitration', 'insurance', 'contract', 'land', 'confidence']"
2000_SGHC_275.pdf,"['insurance', 'contract', 'evidence', 'land']"
2000_SGHC_276.pdf,"['companies', 'evidence', 'equity', 'land']"
2000_SGHC_277.pdf,"['insurance', 'evidence', 'tort', 'land', 'family law', 'agency']"
2000_SGHC_278.pdf,"['evidence', 'land']"
2000_SGHC_279.pdf,['evidence']
2000_SGHC_28.pdf,"['contract', 'evidence', 'employment law', 'tort']"
2000_SGHC_280.pdf,"['evidence', 'land']"
2000_SGHC_281.pdf,"['insolvency law', 'credit and security', 'contract', 'evidence', 'land']"
2000_SGHC_282.pdf,"['admiralty and shipping', 'arbitration', 'insurance', 'contract', 'evidence', 'tort']"
2000_SGHC_283.pdf,"['contract', 'evidence', 'damages', 'land', 'agency', 'confidence']"
2000_SGHC_288.pdf,"['companies', 'evidence']"
2000_SGHC_289.pdf,"['contract', 'evidence', 'damages', 'land']"
2000_SGHC_29.pdf,"['contract', 'evidence', 'banking', 'equity', 'land', 'legal profession']"
2000_SGHC_290.pdf,[]
2000_SGHC_3.pdf,"['civil procedure', 'injunctions', 'companies', 'insurance', 'contract', 'damages', 'land']"
2000_SGHC_30.pdf,"['civil procedure', 'insurance', 'contract', 'evidence', 'res judicata', 'damages', 'land', 'building and construction law']"
2000_SGHC_31.pdf,"['evidence', 'trusts', 'equity', 'land']"
2000_SGHC_32.pdf,"['contract', 'evidence', 'land']"
2000_SGHC_33.pdf,"['companies', 'damages', 'banking']"
2000_SGHC_34.pdf,"['insurance', 'contract', 'damages', 'tort', 'land', 'confidence']"
2000_SGHC_35.pdf,"['words and phrases', 'land', 'legal profession']"
2000_SGHC_36.pdf,"['civil procedure', 'damages']"
2000_SGHC_37.pdf,"['insurance', 'contract', 'evidence', 'damages', 'designs']"
2000_SGHC_38.pdf,"['evidence', 'land', 'gifts']"
2000_SGHC_39.pdf,"['criminal procedure and sentencing', 'evidence']"
2000_SGHC_4.pdf,"['criminal procedure and sentencing', 'companies', 'evidence', 'restitution']"
2000_SGHC_40.pdf,"['contract', 'evidence', 'damages', 'land']"
2000_SGHC_41.pdf,"['evidence', 'land']"
2000_SGHC_42.pdf,"['contract', 'land']"
2000_SGHC_43.pdf,"['evidence', 'land']"
2000_SGHC_44.pdf,"['civil procedure', 'arbitration', 'contract']"
2000_SGHC_45.pdf,"['companies', 'contract', 'evidence', 'land']"
2000_SGHC_46.pdf,"['civil procedure', 'contract', 'evidence', 'banking', 'land']"
2000_SGHC_47.pdf,"['insurance', 'damages', 'land']"
2000_SGHC_48.pdf,"['criminal procedure and sentencing', 'land']"
2000_SGHC_49.pdf,"['companies', 'contract', 'evidence', 'designs', 'land']"
2000_SGHC_5.pdf,"['contempt of court', 'evidence', 'land', 'restitution']"
2000_SGHC_50.pdf,"['criminal law', 'criminal procedure and sentencing', 'courts and jurisdiction', 'words and phrases', 'evidence', 'banking', 'restitution']"
2000_SGHC_51.pdf,"['civil procedure', 'admiralty and shipping', 'evidence', 'damages', 'tort', 'land']"
2000_SGHC_52.pdf,"['contract', 'evidence']"
2000_SGHC_53.pdf,"['evidence', 'damages', 'land']"
2000_SGHC_54.pdf,"['criminal procedure and sentencing', 'evidence']"
2000_SGHC_55.pdf,"['companies', 'insurance', 'contract', 'evidence']"
2000_SGHC_56.pdf,['evidence']
2000_SGHC_57.pdf,"['criminal procedure and sentencing', 'immigration', 'statutory interpretation']"
2000_SGHC_58.pdf,"['companies', 'contract', 'evidence', 'damages', 'employment law', 'land']"
2000_SGHC_59.pdf,['evidence']
2000_SGHC_6.pdf,"['insurance', 'contract', 'evidence', 'designs', 'land', 'gifts']"
2000_SGHC_60.pdf,"['criminal law', 'criminal procedure and sentencing', 'courts and jurisdiction', 'contract', 'evidence', 'land', 'agency', 'commercial transactions']"
2000_SGHC_61.pdf,"['criminal law', 'evidence']"
2000_SGHC_62.pdf,['contract']
2000_SGHC_63.pdf,"['evidence', 'land']"
2000_SGHC_64.pdf,"['companies', 'contract', 'evidence', 'banking', 'land']"
2000_SGHC_65.pdf,"['companies', 'evidence', 'equity', 'land', 'statutory interpretation']"
2000_SGHC_66.pdf,['evidence']
2000_SGHC_67.pdf,"['insurance', 'contract', 'evidence', 'damages', 'tort', 'land']"
2000_SGHC_68.pdf,['banking']
2000_SGHC_69.pdf,"['contract', 'damages', 'tort', 'land']"
2000_SGHC_7.pdf,"['contract', 'evidence', 'banking', 'equity']"
2000_SGHC_70.pdf,"['contract', 'evidence', 'damages', 'equity', 'tort', 'land', 'immigration']"
2000_SGHC_71.pdf,['mental disorders and treatment']
2000_SGHC_72.pdf,"['carriage of goods by air and land', 'contract', 'evidence', 'damages', 'land']"
2000_SGHC_73.pdf,"['contract', 'evidence', 'damages']"
2000_SGHC_74.pdf,"['contract', 'evidence', 'res judicata', 'damages', 'banking']"
2000_SGHC_75.pdf,"['contract', 'evidence', 'damages', 'land']"
2000_SGHC_76.pdf,"['evidence', 'land', 'family law', 'gifts']"
2000_SGHC_77.pdf,"['criminal law', 'evidence']"
2000_SGHC_78.pdf,['banking']
2000_SGHC_79.pdf,"['land', 'legal profession']"
2000_SGHC_8.pdf,"['companies', 'contract', 'evidence', 'confidence']"
2000_SGHC_80.pdf,"['arbitration', 'companies', 'contract', 'evidence', 'damages', 'tort', 'land', 'confidence']"
2000_SGHC_81.pdf,"['companies', 'evidence', 'banking', 'equity', 'land']"
2000_SGHC_82.pdf,"['evidence', 'damages', 'tort', 'land']"
2000_SGHC_83.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'designs', 'tort', 'land', 'intellectual property', 'agency']"
2000_SGHC_84.pdf,"['companies', 'damages', 'land', 'statutory interpretation']"
2000_SGHC_85.pdf,"['companies', 'evidence', 'land']"
2000_SGHC_86.pdf,"['civil procedure', 'insurance', 'contract', 'evidence', 'land']"
2000_SGHC_87.pdf,['insolvency law']
2000_SGHC_88.pdf,"['contract', 'evidence', 'damages', 'land', 'agency']"
2000_SGHC_89.pdf,"['insolvency law', 'credit and security', 'companies', 'contract', 'banking', 'land']"
2000_SGHC_9.pdf,"['criminal law', 'evidence', 'land']"
2000_SGHC_90.pdf,"['evidence', 'land']"
2000_SGHC_91.pdf,['evidence']
2000_SGHC_92.pdf,"['evidence', 'land']"
2000_SGHC_93.pdf,['criminal procedure and sentencing']
2000_SGHC_94.pdf,['evidence']
2000_SGHC_95.pdf,"['contract', 'evidence', 'damages', 'banking', 'tort', 'land', 'confidence']"
2000_SGHC_96.pdf,"['contract', 'evidence', 'immigration']"
2000_SGHC_97.pdf,"['companies', 'contract', 'evidence', 'damages']"
2000_SGHC_98.pdf,[]
2000_SGHC_99.pdf,"['bailment', 'companies', 'contract', 'evidence', 'trusts', 'damages', 'tort', 'agency']"
2001_SGCA_1.pdf,"['civil procedure', 'damages', 'land', 'restitution']"
2001_SGCA_10.pdf,['land']
2001_SGCA_11.pdf,['legal profession']
